id,lang,icon,color,title,description,description_long
base64,de,🔢,#2dd4a0,Base64 Encoder,Encode text to Base64 or decode Base64 strings back to plain text instantly.,"<p>Base64 ist ein Kodierungsschema, das Binärdaten oder Text in eine Zeichenkette aus ASCII-Zeichen umwandelt. Es wird häufig in der Webentwicklung verwendet — zum direkten Einbetten von Bildern in HTML oder CSS als Data-URLs, zum Kodieren von Binärdaten in JSON-Nutzlasten, zur Datei-Upload-Verarbeitung und in HTTP-Basic-Authentication-Headern. Base64 ist Kodierung, keine Verschlüsselung — es bietet keine Sicherheit.</p>
<p>Fügen Sie beliebigen Text ein und klicken Sie auf Kodieren, um ihn in Base64 zu konvertieren. Um eine Base64-Zeichenkette wieder in Klartext zu dekodieren, fügen Sie sie in dasselbe Feld ein und klicken Sie auf Dekodieren. Das Tool unterstützt vollständig Unicode-Eingaben einschließlich Kyrillisch, Arabisch, Hebräisch, Chinesisch, Japanisch, Koreanisch und andere nicht-lateinische Schriften.</p>"
base64,en,🔢,#2dd4a0,Base64 Encoder,Encode text to Base64 or decode Base64 strings back to plain text instantly.,"<p>Base64 is an encoding scheme that converts binary data or text into a string of ASCII characters. It is widely used in web development — embedding images directly in HTML or CSS as data URLs, encoding binary data in JSON payloads, handling file uploads, and in HTTP Basic Authentication headers. Base64 is encoding, not encryption — it does not provide security.</p>
<p>Paste any text and click Encode to convert it to Base64. To decode a Base64 string back to plain text, paste it in the same box and click Decode. The tool fully supports Unicode input including Cyrillic, Arabic, Hebrew, Chinese, Japanese, Korean and other non-Latin scripts.</p>"
base64,es,🔢,#2dd4a0,Codificador Base64,Codifica texto a Base64 o decodifica cadenas Base64 de vuelta a texto plano al instante.,"<p>Base64 es un esquema de codificación que convierte datos binarios o texto en una cadena de caracteres ASCII. Se usa ampliamente en el desarrollo web — incrustando imágenes directamente en HTML o CSS como URLs de datos, codificando datos binarios en payloads JSON, manejando cargas de archivos y en encabezados de Autenticación Básica HTTP. Base64 es codificación, no cifrado — no proporciona seguridad.</p>
<p>Pega cualquier texto y haz clic en Codificar para convertirlo a Base64. Para decodificar una cadena Base64 de vuelta a texto plano, pégala en el mismo cuadro y haz clic en Decodificar. La herramienta admite completamente la entrada Unicode incluyendo cirílico, árabe, hebreo, chino, japonés, coreano y otros scripts no latinos.</p>"
base64,fr,🔢,#2dd4a0,Base64 Encoder,Encode text to Base64 or decode Base64 strings back to plain text instantly.,"<p>Base64 est un schéma d'encodage qui convertit des données binaires ou du texte en une chaîne de caractères ASCII. Il est largement utilisé dans le développement web — pour intégrer des images directement dans HTML ou CSS comme URLs de données, encoder des données binaires dans des charges utiles JSON, gérer les téléchargements de fichiers et dans les en-têtes d'Authentification Basique HTTP. Base64 est un encodage, pas un chiffrement — il ne fournit pas de sécurité.</p>
<p>Collez n'importe quel texte et cliquez sur Encoder pour le convertir en Base64. Pour décoder une chaîne Base64 en texte brut, collez-la dans la même boîte et cliquez sur Décoder. L'outil prend entièrement en charge la saisie Unicode incluant le cyrillique, l'arabe, l'hébreu, le chinois, le japonais, le coréen et d'autres scripts non latins.</p>"
base64,he,🔢,#2dd4a0,מקודד Base64,קידוד טקסט ל-Base64 או פענוח מחרוזות Base64 לטקסט רגיל.,"<p>Base64 הוא סכמת קידוד שממירה נתונים בינאריים או טקסט למחרוזת תווי ASCII. נפוץ בפיתוח ווב — הטמעת תמונות ישירות ב-HTML או CSS כ-data URLs, קידוד נתונים בינאריים ב-JSON, טיפול בהעלאות קבצים ובכותרות HTTP Basic Authentication. Base64 הוא קידוד, לא הצפנה — הוא לא מספק אבטחה.</p>
<p>הדביקו כל טקסט ולחצו קידוד כדי להמיר ל-Base64. לפענוח מחרוזת Base64 בחזרה לטקסט רגיל, הדביקו באותה תיבה ולחצו פענוח. הכלי תומך במלואו בקלט Unicode כולל עברית, ערבית, סינית, יפנית, קוריאנית וכתבים לא-לטיניים אחרים.</p>"
base64,pt,🔢,#2dd4a0,Base64 Encoder,Encode text to Base64 or decode Base64 strings back to plain text instantly.,null
base64,ru,🔢,#2dd4a0,Кодировщик Base64,Кодируйте текст в Base64 или декодируйте строки Base64 обратно в обычный текст.,"<p>Base64 — схема кодирования, преобразующая двоичные данные или текст в строку ASCII-символов. Широко применяется в веб-разработке: встраивание изображений в HTML/CSS как data URL, кодирование бинарных данных в JSON, обработка загрузок файлов и в заголовках HTTP Basic Authentication. Base64 — это кодирование, не шифрование: безопасности оно не обеспечивает.</p>
<p>Вставьте любой текст и нажмите «Кодировать» для преобразования в Base64. Чтобы декодировать строку Base64 обратно в текст, вставьте её в то же поле и нажмите «Декодировать». Инструмент полностью поддерживает Unicode, включая кириллицу, арабский, иврит, китайский, японский, корейский и другие не-латинские письменности.</p>"
base64,ua,🔢,#2dd4a0,Base64 кодувальник,Кодуйте текст у Base64 або декодуйте Base64-рядки назад у звичайний текст миттєво.,"<p>Base64 — схема кодування, що перетворює бінарні дані або текст у рядок ASCII-символів. Широко використовується у веб-розробці: вбудовування зображень у HTML/CSS як data URL, кодування бінарних даних у JSON, обробка завантажень файлів та HTTP Basic Authentication. Base64 — це кодування, не шифрування.</p>
<p>Вставте текст і натисніть «Кодувати» для перетворення в Base64. Для декодування вставте Base64-рядок і натисніть «Декодувати». Повна підтримка Unicode: кирилиця, арабська, іврит, китайська, японська, корейська та інші.</p>"
case-converter,de,Aa,#f56565,Case Converter,"Convert text between camelCase, snake_case, UPPER, Title, kebab-case and more.","<p>Groß- und Kleinschreibungskonvertierung ist eine tägliche Aufgabe für Entwickler und Autoren. Ob camelCase für JavaScript-Variablen, snake_case für Python, kebab-case für CSS-Klassen oder PascalCase für Komponentennamen — Text manuell umzutippen kostet Zeit. Dieses Tool konvertiert jede Eingabe sofort in alle gängigen Formate gleichzeitig.</p>
<p>Geben Sie beliebigen Text ein oder fügen Sie ihn ein — einschließlich camelCase- oder snake_case-Eingaben — und erhalten Sie 12 Formate gleichzeitig. Klicken Sie auf eine Ergebniskarte, um sie in die Zwischenablage zu kopieren. Unterstützte Formate: lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
case-converter,en,Aa,#f56565,Case Converter,"Convert text between camelCase, snake_case, UPPER, Title, kebab-case and more.","<p>Case conversion is a daily task for developers and writers. Whether you need camelCase for JavaScript variables, snake_case for Python, kebab-case for CSS classes, or PascalCase for component names, manually retyping text wastes time. This tool converts any input to all major formats at once.</p>
<p>Type or paste any text — including camelCase or snake_case inputs — and get 12 case formats simultaneously. Click any result card to copy it to your clipboard. Supported formats: lowercase, UPPERCASE, Title Case, Sentence case, camelCase, PascalCase, snake_case, CONSTANT_CASE, kebab-case, COBOL-CASE, dot.case, path/case.</p>"
